Вопрос,Сгенерированный ответ,Эталонный ответ,Perplexity,BERTScore F1,Токсичность,Время отклика (сек)
Чем приводятся в движение системы менеджмента качества?,"Системы управления качеством содержатся в машинописном виде в бухгалтерском и программном коде предприятия-владельца. Вводятся в действие с целью сокращения издержек производства и совершенствования бизнес-модели организации. Как правило, эти системы управления содержат",системы менеджмента качества приводятся в движение требованиями потребителя организации,3.75,0.656,0.0019,0.9225
Кем был создан первый троллейбус?,"первый автобус с двигателем внутреннего сгорания, выпущенный компанией Siemens & Halske Electric в 1903 году, назывался Bombardier.",первый троллейбус был создан инженером Вернером фон Сименсом,2.64,0.6818,0.0017,0.9165
как можно охарактеризовать реакцию водорода с кислородом?,"реакции, происходящие в газе при высоких давлениях, называются фотохимическими реакциями. Как правило, реакции фотосинтеза происходят в вакууме и сопровождаются образованием свободных радикалов.",реакция водорода с кислородом это цепная химическая реакция,4.21,0.6702,0.0012,0.9156
"Процесс какого ускоренного перехода от традиционного этапа развития к индустриальному, с преобладанием промышленного производства в экономике называется индустриализацией?","процесс индустриализации называется преобразованием общества в индустриальное или индустриально-капиталистическое, при котором создаются необходимые условия для экономического роста и воспроизводства. В результате чего создается необходимая рабочая сила, необходимые для производства необходимых продуктов питания и обслуживания населения. Ответ","процесс ускоренного социально-экономического перехода от традиционного этапа развития к индустриальному, с преобладанием промышленного производства в экономике называется индустриализацией",4.03,0.7183,0.0035,0.9564
"Чем общим обладает крупица золота, найденная цыганом или владельцем рудника?","1/3 доли этой доли находится в распоряжении банка Хоум Кредит Банка (Howard & Halske) по состоянию на 31.12.2011 г. по данным Банка России на 1 января 2012 г., чистая прибыль банка по итогам 2011 г","крупица золота, найденная цыганом или владельцем рудника, обладает одинаковой способностью к сбыту",6.66,0.5688,0.0014,0.9066
Когда Муромское и Рязанское княжество окончательно обособились друг от друга?,"Мопертюи и многие другие средневековые авторы пришли к выводу о том, что государство в целом и княжества в частности следует относить к эпохе Ренессанса, а не к XIV—XVI векам. В начале XIV века Му",Муромское и Рязанское княжество окончательно обособились друг от друга после Монгольского нашествия,4.24,0.6318,0.0028,0.8886
Когда начали работу завод Красный Октябрь и Баррикады ?,"первые заводские троллейбусы начали работать в начале 1950-х годов. В 1951 году завод Красном Октябре начали выпускать первый троллейбус с двигателем внутреннего сгорания, который выпускался с 1950 года по 1951 год. Завод Красный Октябрь и",завод Красный Октябрь и Баррикады начали работу летом 1943 года,4.65,0.6791,0.0024,0.8747
"Какими издержками начинают считать издержки, величина которых непосредственно зависит от изменения объема выпуска?","затраты на производство и выпуска продукции начинают считаться внутренними затратами предприятия-изготовителя независимо от того, сколько произведено продукции за определенный период времени. В качестве примера можно привести расходы на оплату труда персонала, произведенные за счет средств федерального бюджета. Ответ","переменные издержки начинают считать издержками, величина которых непосредственно зависит от изменения объема выпуска",5.89,0.661,0.0041,0.8906
О каком эволюционном изменении организмов писал Мопертюи?,"Менгер писал, что виды могут эволюционировать в процессе полового отбора путём естественного отбора, а не путём искусственного отбора. В качестве примера он приводил вымерших змей и некоторых других змей, которые могли бы приспособиться к среде, в которой они живут.","Мопертюи писал о естественных модификациях, происходящих во время воспроизводства, накапливающихся в течение многих поколений и приводящих к формированию новых видов.",2.73,0.6845,0.004,0.9534
Какоу параметр кремния ?,"кремний — это один из самых важных элементов, необходимых для нормального функционирования атомов в клеточной стенке у бактерий и некоторых других организмов. В клеточных стенках микроорганизмов содержится большое количество кремниевых нитчатых цианобактерий. Ответ","параметр кремния равен 0,54307 нм",5.02,0.5988,0.0027,2.5582
"В каком богословии, такие понятия как природа, ипостась и лицо, были взаимосвязаны?","эти понятия были связаны с понятием абсолютного идеализма, согласно Аристотелю, аристотелевское учение о богах было тесно связано с учением о двух началах: абсолютном идеализме и относительном идеалистическом синтезе. Ответ","такие понятия как природа, ипостась и лицо были взаимосвязаны в дохалкидонском богословии",5.2,0.6421,0.0016,3.5694
что встречается в протерозойских отложениях?,"окаменелости и окаменевшие остатки растений и микроорганизмов встречаются в тропиках и субтропиках, а также в экваториальной части тропиков и тропических областей. В некоторых местностях Африки встречается губка-хозяинница губок",органические остатки встречаются в протерозойских отложениях,3.77,0.6937,0.0033,1.0582
"Такие меры, как валютные интервенции, стерилизация денежной массы, законодательные ограничения, способны дать какой результат?","Экономисты и социологи пришли к выводу о том, что такие меры могут дать экономический эффект, сравнимый с введением налога на добавленную стоимость (НДС) в отношении товаров, произведенных с меньшими издержками, чем их стоимость.","такие меры, как валютные интервенции, стерилизация денежной массы, законодательные ограничения, способны дать лишь временный результат",5.68,0.635,0.0014,1.0691
С кем сотрудничает Камю?,Бельгиец Бенджамин Боуи совместно с Чикагским университетом (Cambridge University of Technology) и Университетом Карнеги-Холла (University of Cambridge) совместно со своими партнерами из университетами Кембридж и,Камю сотрудничает с ЮНЕСКО,3.78,0.5748,0.0017,0.9734
По имени какого ученого отношение скорости течения в данной точке газового потока к местной скорости распространения звука в движущейся среде называется числом Маха?,"количество Маха в секунду, измеренное в секундах, называется скоростью света в вакууме или ускорением свободного падения электронов в газе в точке с постоянной скоростью около 10 м/с называют скоростью распространения электромагнитных волн в поле тяготения. Ответ",отношение скорости течения в данной точке газового потока к местной скорости распространения звука в движущейся среде называется числом Маха по имени австрийского ученого Эрнста Маха,7.36,0.7021,0.0025,0.9205
Какое имя получил телескоп?,"Галилей получил свое имя за открытие спутников Юпитера в честь французского астронома Жана Галилея в 1516 году. В честь него назван первый в мире телескоп, открытый французским астрономом Жаном Галенком.",телескоп получил имя Эдвина Хаббла,3.9,0.6706,0.003,0.9036
Какая зарплата была у Мартина Каппы？,"Мартин Каппа был одним из самых высокооплачиваемых экономистов в 1950-х годах в США. В 1950—1951 годах он занимал должность профессора экономики в Университете Миссолонги в штате Нью-Джерси, а в 1951—",зарплата Мартина Каппы была сорок пять долларов в неделю,3.1,0.6333,0.0014,0.9106
С каким счетом сборная Италии сыграла с Францией?,"Сборная Италии со счетом 3:1 проиграла Франции со счётом 2:0 в матче группового этапа Лиги чемпионов по пенальти в Риме. В первом матче отборочного турнира к чемпионату мира по футболу итальянцы сыграли вничью со шведами, а во втором с",сборная Италии сыграла со сборной Франции со счетом 2:0,3.73,0.7487,0.0021,0.9355
В нелегкий период кто поддерживал Брюллова?,"Толкин поддерживал связь с одним из своих близких друзей, с которым познакомился в начале 1950-х годов, а затем и с его женой Джоан Магретт. В 1951 году Толкину было 19 лет, когда он познакомился с писательницей Полом Гей",Самойлова поддерживала Брюллова в нелегкий период,5.22,0.632,0.0017,0.9325
В момент возрождения комиссии по Байконуру в 2012 году кто получил должность ее председателя?,"первый заместитель председателя правительства РФ С. И. Шувалов получил звание Почётного профессора Российской академии наук по направлению подготовки научных сотрудников Академии наук о Земле и атмосфере имени М. В. Ломоносова, доктор физико-математических наук, профессор, член-кор",И. И. Шувалов получил должность председателя комиссии по Байконуру в 2012 году,4.47,0.7076,0.0023,0.9305
Кем были колодники у половцев?,"половцы были склероцистами. В VI—VII веках до н. э. на территории современной Рязанской области были проживавшие вятичи и ногайцы. Часть из них была язычниками, а часть — христианами.",Колодники были военнопленными у половцев.,3.27,0.6639,0.0025,0.9415
Сколько звёзд входит в состав Большой Медведицы?,"Большая Медведица — одна из самых больших звезд в мире, диаметр которой составляет 1,16 км, а масса около 10 млрд. пар нейтронов. На долю этой звезды приходится около 20 % мирового производства парниковых газов. К 2050 году",семь звезд входит в состав Большой Медведицы,3.89,0.6528,0.0013,0.9226
Чего не смогло поколебать установление британского господства?,"заключение мирного договора между Англией и Шотландией о совместном управлении территориями Вест-Индии и Индо-Тихоокеанского архипелага, согласно которому Шотландия и Великобритания получили контроль над морями и островами Индийского океана, не",установление британского господства не смогло поколебать фундаментальных основ кастовой организации общества,4.4,0.6224,0.0028,0.9375
"Как можно разделить все живые организмы по характеру пищи, используемой в процессе жизнедеятельности?","белки, жиры, углеводы и жирорастворимые витамины делятся на три группы: растительные, животные и минеральные. В процессе эволюции клетки делятся по признаку их присутствия в пищеварительном тракте и способности к размножению. Ответ","Все живые организмы можно разделить на автотрофных, гетеротрофных, миксотрофных.",3.86,0.6323,0.0021,0.9146
По какому критерию Формула-1 не может считаться самой быстрой?,"Формулы-2 не могут считаться самыми быстро движущей силой на поле боя, так как скорость, с которой машины движутся относительно друг друга, не зависит от направления ветра и силы ветра в поле зрения пилота. В то время как машины, движущиеся",Формула-1 не может считаться самой быстрой автогоночной серией по абсолютной скорости,3.4,0.6798,0.0041,0.8846
Когда отключается питание ОЗУ?,"питание материнской платы отключено в режиме ожидания. Когда питание графического адаптера отключаеться, питание материнских плат компьютера прекращается. На материнской плате компьютера отключаются все графические адаптеры, кроме видеоадаптера.",Питание ОЗУ отключается в режиме гибернации,5.7,0.6988,0.0047,0.8956
Где такие форматы не получили широкого распространения вследствие своей дороговизны и несовместимости с массовой киносетью?,"Форматы кинопленки, как правило, получили широкое распространение в массовом кинопрокате из-за большого распространения персональных компьютеров и программ для работы с электронными таблицами. К числу таких форматов относятся широкоформатные цифровые киносистемы, широко",панорамные форматы не получили широкого распространения в СССР и остальном мире вследствие своей дороговизны и несовместимости с массовой киносетью,6.29,0.697,0.0053,0.9654
Как научные дисциплины подходят к изучению управленческой деятельности?,"Научные дисциплины, изучающие управленческую деятельность, подходят для изучения управления человеческими ресурсами под углом зрения их специфики и взаимосвязи с социокультурными процессами, происходящими в социуме, но не затрагивающие социально-экономические аспекты","научные дисциплины подходят к изучению управленческой деятельности, обобщая практический опыт",3.7,0.7298,0.0027,2.9391
При каких условиях давление во всех точках газа одинаково?,"давление в газообразных соединениях одинаковое, а температура плавления одинакова для всех газов, находящихся внутри газового потока. При высоких давлениях во всем газе одинаково большое количество парниковых газов одинаково интенсивно циркулирует в окружающем газ",давление во всех точках газа одинаково при отсутствии сил тяготения,4.72,0.7222,0.0025,3.0907
Из каких элементов состоит Конструкция Сущего и явлений в Сущем?,"Целлюлоза состоит из атомов кремния и магния, кварка и других химических элементов. В состав органических составных частей входят белки, жиры, углеводы, минеральные вещества и другие вещества, необходимые для нормального функционирования клеток.","Конструкция Сущего и явлений в Сущем состоит из элементов Единое, Ум, Душа, Космос, материя",5.74,0.6459,0.0014,0.8767
На основе чего создан метод анализа поэтической структуры?,"метод изучения поэтики создан на основе эмпирических данных о строении поэтического текста и его взаимосвязи с художественной литературой. В основе этого метода лежит представление о том, что поэтика как наука возникла на базе естественных наук и получила широкое распространение в средние",метод анализа поэтической структуры создан Аристотелем на основе эмпирического метода естественных наук,4.44,0.7346,0.0032,0.9345
"Что предложил друг и ученик Моцарта, князь Карл Лихновский, собираясь по делам в Берлин весной 1789?","Байрон Дарвин предложил своему другу Бенджамину Менгеру идею о том, что музыка может быть понята как поэтика, но не как философская система, а как художественное произведение. В то время как Лейбниц писал: музыка","друг и ученик Моцарта, князь Карл Лихновский, собираясь по делам в Берлин весной 1789 года, предложил Моцарту место в своём экипаже",9.21,0.6245,0.0018,0.8926
Кем могут выпускаться кузова для троллейбусов?,"КАМАЗы могут изготавливаться как отечественными, так и зарубежными предприятиями-изготовителями. В настоящее время в России выпускаются автомобили с двигателем внутреннего сгорания, предназначенные для внутреннего рынка, но не удовлетворяющие требованиям по экологичности и безопасности",кузова для троллейбусов могут выпускаться любым производителем автобусов,3.57,0.6617,0.0056,0.8916
"При каком давлении скорость, соответствующая 1 Маху, будет равна скорости звука в воздухе?","скорость звука будет равной 1 Маха в секунду в вакууме при скорости, соответствующей 4 Махам в минуту (1,83 м/с)·ч·с·час.","скорость, соответствующая 1 Маху, будет равна скорости звука в воздухе при давлении 1 атм",6.67,0.7582,0.0011,0.8956
Какие товары могут потерять способность к сбыту?,"товары, произведенные с меньшими издержками, могут быть потеряны для перепродажи. В качестве примера можно привести автомобили, использующиеся для производства одежды, постельного белья и т. п.","предметы одежды, постельное бельё могут потерять способность к сбыту",2.63,0.6833,0.0012,4.5369
Сколько саамов на 2002 год в России?,"около 1,5 млн человек на 2001 год на территории России проживало в 2002—2003 годах. В 2002 году на территорию России в основном переселялись саамы из Казахстана и других районов Крайнего Севера и Приполярья. Часть из них перес",в России проживает 1991 саам,3.57,0.6767,0.0016,1.4252
С чем не стоит смешивать ученые звания доцента и профессора?,"ученые не смешивают научные звания с званиями профессора или профессора, если речь идет о фундаментальных научных открытиях в области физики конденсации или квантовой электродинамики. В качестве примера можно привести работу Кеплера и Галилея, описывающую","не стоит смешивать ученые звания доцента и профессора с должностями в вузах, имеющими аналогичные наименования",3.99,0.6841,0.0019,0.9794
Что помогает стеклянным губкам обитать на больших глубинах морей?,"способность губок к размножению помогает им выживать в суровых морях и на мелководьях, а также в пресноводных реках и озёрах. Как правило, стеклянные губки хорошо приспособлены для нереста и размножения в",пористое строение тела стеклянных губок позволяет им с минимальными затратами извлекать пищевые частицы из этих бедных пищей вод,4.21,0.667,0.0018,0.8996
В каком кишечнике переваривается основная часть пищи?,"основной частью пищи является белок, содержащийся в молоке, в котором содержится большое количество незаменимых жирных кислот Омега-3 и олеиновой кислоты. Для нормального функционирования пищеварительной системы необходимо поступление в кишечник большого количества питательных",основная часть пищи переваривается в тонком кишечнике,3.26,0.7063,0.0026,0.9285
"Какие, например, крупные концерны агрегируют внутри себя сразу несколько отраслей машиностроения?","ОАО &laquo;Рособоронэкспорт&nbsp;&mdash; один из крупнейших концернов по выпуску военной техники в мире, выпускающий бронетранспортеры, танки, вертолеты, автомобили и т. п. Ответ",итальянский FIAT или немецкий MAN SE агрегируют внутри себя сразу несколько отраслей машиностроения,5.26,0.5828,0.0016,0.8896
Что ещё помимо органических веществ необходимо для жизнедеятельности гетеротрофных организмов?,"белки, жиры, углеводы и минеральные вещества необходимы для нормального функционирования клеток и нормального роста и развития микроорганизмов. В качестве незаменимых составных частей рациона ракообразные потребляют растительные белки и жиросодержащие вещества.","Помимо органических веществ, гетеротрофным организмам необходимы витамины, нуклеиновые кислоты и микроэлементы.",3.96,0.7226,0.002,0.9096
Когда в Китае появились инструменты жуань и юэцинь?,"в начале 1950-х годов в Шанхае появились первые машины с бензиновым двигателем внутреннего сгорания, предназначенные для троллейбусов и трамваев. В 1950—1951 годах были установлены первые в мире автобусные и троллейбусные линии с",инструменты жуань и юэцинь появились в Китае в III—IV веках н. э.,7.08,0.6462,0.0018,0.8956
Какое оружие использовали японцы против русских кораблей?,Японцы использовали морскую пехоту и лёгкую кавалерию против линейных кораблей и фрегатов. В качестве метательного средства применяли абордажные сабли и метательные топоры.,японцы использовали торпеды против русских кораблей,4.28,0.7404,0.0017,0.8877
"Кто считал, что все теплокровные организмы возможно происходят от одного микроорганизма (или филамента )?","Карл Линней в 1809 году предположил, а затем и сформулировал теорию эволюции путём естественного отбора путём скрещивания различных организмов путём искусственного отбора. В 1816 году он предположил существование многоклеточного организма, который мог бы быть полностью изолирован от других","Эразм Дарвин считал, что все теплокровные организмы возможно происходят от одного микроорганизма (или филамента)",5.31,0.6831,0.0031,0.8986
Кем была предложена первая эволюционная концепция?,"Лейбниц считал, что первые эволюционные концепции были предложены Жаном Батистом Ламарком, Жаком Руссо и другими учёными-теоретиками. В качестве исходного материала для эволюционной концепции Ламарка рассматривалась эволюция",первая эволюционная концепция была предложена Жаном Батистом Ламарком,2.56,0.7925,0.0023,0.8976
"Сколько градусов составила максимальная точка, которую достиг Нансен в 1897 году в экспедиции на Северный полюс?","Максимально допустимая температура поверхности Северного Полярного круга составляла 37,2 °C. Максимальное количество градусов превышало отметку в 1900 году на полюсе в 15 градусов Цельсия. На протяжении всей своей карьеры Максим Максимом Горьким была достигнута","Максимальная точка, которую Нансен достиг в 1897 году в экспедиции на Северный полюс, составила 86° 13′ 36 с. ш.",5.55,0.6515,0.0039,0.8846
Когда Моцарт вступил в масонскую ложу К благотворительности ?,Меценатская ложа К финансовой помощи Французской академии была открыта в 1816 году Жаном Батистом Ламарком и Жозефом Бомарше в качестве почетного члена Парижской ложи взаимопомощи. В 1824,Моцарт вступил в масонскую ложу К благотворительности 14 декабря 1784 года.,5.49,0.6774,0.0045,4.2456
Какая дисциплина выделяет знаки в окружающем мире и изучает их смысл и взаимосвязь?,"дисциплина, выделяя знаки, выделяет понятия, относящиеся к физическим процессам, происходящим в микроорганизмах и организмах, а не к их внешним проявлениям. В области зоологии выделяют три основные дисциплины: зоология, ботаника и",Семиотика выделяет знаки в окружающем мире и изучает их смысл и взаимосвязь,3.77,0.674,0.0015,1.793
Какой была дата подписания Парижской конвенции?,Парижская конвенция была подписана 15 июня 1572 года. В этот день французский король Карл V короновал Карла V императорской короной за династию Бурбонов.,Парижская конвенция была подписана 15.06.1929 года,2.82,0.7552,0.0018,0.9435
Что сформулировал Чарлз Дарвин?,"он предположил, что все живые организмы делятся на несколько видов, отличающихся друг от друга скоростью роста и размножения, но имеющих сходные черты строения и приспособленности к среде обитания. В качестве примера можно привести змей и змей-искусственниц.",Чарлз Дарвин первым сформулировал теорию эволюции путём естественного отбора,2.97,0.6123,0.0017,0.9774
С какого года в Найроби функционирует коворкинг iHub?,в 2011 году в США действует коучинговая школа по работе с возражениями в области бизнес-модели применительно к корпоративным информационным системам (КИС) и электронным таблицам для руководителей отделов продаж и персонала. В настоящее время в,коворкинг iHub функционирует в Найроби с 2010 года,4.92,0.629,0.0029,0.9933
Кто такие чаги ?,"Чингисхан это династия Чингизидов, правившая в VI—VIII веках до н. э. в империи Хулагуидов. На смену династиям Чунцин и Хубилая пришло династийское завоевание",чаги это женщины-служанки,2.82,0.5655,0.0012,0.9505
Когда был открыт Музей Грина в Феодосии?,"в 1854 году Эрмитаж впервые посетил русский император Николай I, прибывший в Санкт-Петербург с императорской короной. В 1855 году император Александр I подарил Эрмитажу первый в мире автобус с двигателем внутреннего сгорания. Экспонаты Эрмитажа",Музей Грина в Феодосии был открыт в июле 1970 года,3.8,0.6387,0.0024,0.8757
Как терминал торговых точек подтверждает процедуру оплаты?,"При оплате через банкомат банк-эмитент карты может совершить оплату в режиме on-line, без комиссии и комиссии. В терминалах самообслуживания PayPass, VISA, MasterCard, Maestro, QIWI",терминал торговых точек подтверждает процедуру оплаты путем подачи звукового или визуального сигнала,4.75,0.6545,0.001,0.8806
Какой труд по поэтике нужно считать первым развернутым систематическим трудом?,"Философия как наука о художественной литературе должна считаться первой развернутой систематической трудностью, так как в ней впервые в истории человечества были сформулированы основные философские проблемы её развития. В её основе лежит представление о единстве объективного и субъективного, о",первым развернутым систематическим трудом по поэтике нужно считать Поэтику Аристотеля,5.46,0.6894,0.0024,0.8886
Какую должность имеет возможность занять доктор наук со званием доцента?,"Доктор наук может быть назначен на должность профессора, если у него есть ученое звание или звание профессора по кафедре физики конденсации или квантовой физики. В качестве соискателя могут быть назначены: профессор, проректор по учебной работе или заведующий кафедрой физики",доктор наук со званием доцента имеет возможность занять должность профессора,4.62,0.6866,0.0046,0.8875
На чем настаивал Лавуазье?,"Французский философ и социолог Жозеф Батиста Ламартин в полемической работе о естественных модификациях утверждал, что все живые организмы состоят из нитчатых цианобактерий и способны к воспроизводству путём естественного отбора. В полем",Лавуазье настаивал на необходимости устроить около Парижа опытное поле для агрономических экспериментов,2.84,0.6195,0.0017,0.9524
Какие разделы есть во многих науках?,"Философия, психология, социология, лингвистика, антропология и многие другие дисциплины в области психологии и лингвистики разделяются на ряд дисциплин, перечисленных выше. Что изучает психология в различных её аспектах? Психология изучает взаимосвязь между научными","разделы, связанные с управлением, есть во многих науках",3.87,0.6036,0.0019,1.0003
Что считал Эразм Дарвин?,"он считал, что все живые организмы делятся на несколько видов, отличающихся друг от друга скоростью роста и размножения, но не имеющих сходства в строении и внешнем виде. В качестве примера он приводил змей и змей-искусственниц. Ответ","Эразм Дарвин считал, что все теплокровные организмы возможно происходят от одного микроорганизма (или филамента).",2.91,0.6724,0.0018,4.9857
Что сделает человек для оплаты в терминале торговых точек?,"человек, использующий терминалы самообслуживания PayPass и PayWave, сделает оплату за товары, выставленные в торговых точках, находящихся в режиме online, безопасными и доступными для всех пользователей. В качестве бонуса к оплате может",человек для оплаты в терминале торговых точек поднесет к терминалу бумажник с картой внутри,4.98,0.6718,0.0012,0.9215
Сколько стоит эксплуатация космодрома?,"стоимость эксплуатации космодромов в год обходится бюджету России в 9 млрд рублей. В 2010 году Россия потратила 1,16 млрд руб. на эксплуатацию и реконструкцию Байконура по данным на октябрь 2010 года, что составляет 7,79 млрд",эксплуатация космодрома стоит 9 млрд рублей в год,4.97,0.7677,0.0014,0.9564
Примеры неорганических составных пищи?,"Неорганические составные пищи - это белки, жиры, углеводы, минеральные вещества, витамины, микроэлементы, белки-сывороточные элементы, незаменимые жирные кислоты и другие необходимые для нормального функционирования микрофлоры вещества.","CO2, H2O - примеры неорганических составных пищи",3.06,0.7028,0.0018,1.0023
До какого возраста посещение школы является обязательным?,"Посещение школы не обязательно для поступления в колледж или техникум. В некоторых колледжах и техникумах дети могут получить среднее образование в течение 10-15 лет после окончания школы. На протяжении многих лет дети-сироты и дети, оставшиеся без попе",посещение школы является обязательным до 15 лет,3.58,0.7101,0.003,1.0442
Сколько новых торговых объектов введено в 2010 году?,"971 792 торговых объекта введены в 2009 году в Санкт-Петербурге и Ленинградской области по данным на октябрь 2010 года. В 2010—2011 годах в Петербурге и области планируется ввести в эксплуатацию 771 951 объект торговой недвижимости, в том числе торгово-",60 новых торговых объектов введено в 2010 году,5.22,0.7298,0.0024,0.9664
Какую группу концепций представляет собой понятие Крайний Север ?,"понятие крайнего Севера, как правило, исходит из антропологии и социологии, а не из лингвистики или антропологического анализа. В качестве примера можно привести понятие арктической периферии как области, в которой обитает большое количество арктических видов. Ответ","понятие Крайний Север представляет собой группу концепций с размытой пространственной локализацией, зависящей от цели рассмотрения.",4.68,0.6536,0.0048,0.9704
"Что необходимо гетеротрофным организмам помимо белков, жиров и углеводов?","белки, жиры, углеводы и жирорастворимые витамины необходимо потреблять в умеренных дозах, чтобы предотвратить размножение патогенных микроорганизмов в молоке и предотвратить их гибель. Для нормального роста и размножения бактерий необходим белок,","Витамины, нуклеиновые кислоты и микроэлементы необходимы гетеротрофным организмам помимо белков, жиров и углеводов.",2.95,0.722,0.0021,0.9814
Какова была численность персонала на весну 2011 года?,"1,2 тыс. человек на 1 января 2011 г. составляла 2,7 млн человек. Численность персонала, проживавшего в России в 2011—2012 учебном году, составляла 3,4 млн чел. (данные на октябрь 2012 г.) Источник: Рос","Численность персонала АО ЮниКредит Банкf на весну 2011 года составляла 3,7 тыс. человек.",4.27,0.7263,0.0011,0.9505
К чему приходилось приспосабливать военную практику,военная практика приспосабливалась к изменившимся условиям и менялась в соответствии с изменившимися представлениями о военной службе рядового и сержантского состава. В связи с чем возникла необходимость в ускоренном преобразовании системы подготовки и переподготовки кадров для сухопутных войск,военную практику приходилось приспосабливать к религиозным обычаям,4.34,0.6785,0.0037,0.9405
